num, kpa, d
0, 11.0, 4.416
1, 22.8, 4.44
2, 30.3, 4.8
3, 40.7, 4.795
4, 49.6, 5.249
5, 60.0, 6.067
6, 63.4, 6.536
7, 66.9, 7.022
8, 71.0, 7.894
9, 75.1, 9.382
10, 80.0, 12.676
11, 82.7, 18.894
12, 86.2, 36.435
13, 89.6, 302.17
14, 101.4, 13.297
15, 110.3, 8.982
16, 122.0, 6.644
17, 129.6, 5.742
18, 137.2, 5.087
19, 129.6, 4.339
20, 122.0, 5.172
21, 110.3, 5.73
22, 101.4, 7.658
23, 89.6, 17.428
24, 86.2, 37.577
25, 82.7, 278.82
26, 80.0, 52.307
27, 75.1, 12.143
28, 71.0, 8.978
29, 66.9, 7.705
30, 63.4, 6.785
31, 60.0, 6.623
32, 49.6, 5.509
33, 40.7, 5.215
34, 30.3, 4.873
35, 22.8, 4.688
