number, kpa, d, h, u
0, 11.0, 4.65, 0.646, 0.44
1, 22.8, 4.83, 0.654, 0.44
2, 30.3, 5.34, 0.703, 0.438
3, 40.7, 5.85, 0.713, 0.42
4, 49.6, 5.88, 0.724, 0.435
5, 60.0, 7.24, 0.747, 0.437
6, 63.4, 7.27, 0.770, 0.434
7, 66.9, 7.90, 0.771, 0.439
8, 71.0, 11.10, 0.776, 0.427
9, 75.1, 19.29, 0.807, 0.442
10, 80.0, 72.4, 0.829, 0.446
11, 82.7, -31.56, 0.884, 0.413
12, 86.2, -14.97, 0.889, 0.429
13, 89.6, -11.72, 0.905, 0.444
14, 101.4, -6.43, 0.976, 0.431
15, 110.3, -5.48, 0.92, 0.421
16, 122.0, -4.65, 0.999, 0.432
17, 129.6, -4.4, 0.99, 0.486
18, 137.2, -3.82, 0.98, 0.436 
19, 129.6, -4.07, 1.05, 0.428
20, 122.0, -4.66, 1.01, 0.411
21, 110.3, -4.53, 0.991, 0.423
22, 101.4, -5.44, 0.949, 0.468
23, 89.6, -7.92, 0.89, 0.434
24, 86.2, -9.66, 0.939, 0.429
25, 82.7, -15.15, 0.937, 0.429
26, 80.0, -20.83, 0.897, 0.438
27, 75.1, 55.7, 0.833, 0.427
28, 71.0, 13.44, 0.774, 0.436
29, 66.9, 8.85, 0.779, 0.447
30, 63.4, 8.67, 0.785, 0.411
31, 60.0, 7.26, 0.764, 0.451
32, 49.6, 5.99, 0.701, 0.445
33, 40.7, 5.59, 0.717, 0.438
34, 30.3, 5.4, 0.653, 0.42
35, 22.8, 5.14, 0.68, 0.433
