num, diam
0, 11, 4.477
1, 22.8, 4.669
2, 30.3, 5.132
3, 40.7, 5.440
4, 49.6, 5.981
5, 60, 6.740
6, 63.4, 7.542
7, 66.9, 8.044
8, 71.0, 11.104
9, 75.1, 59.617
10, 80, 19.579
11, 82.7, 10.632
12, 86.2, 8.148
13, 89.6, 7.246
14, 101.4, 4.799
15, 110.3, 4.556
16, 122.0, 3.792
17, 129.6, 3.596
18, 137.2, 3.440
19, 129.6, 3.517
20, 122.0, 3.741
21, 110.3, 4.037
22, 101.4, 4.642
23, 89.6, 6.095
24, 86.2, 7.117
25, 82.7, 8.952
26, 80.0, 14.064
27, 75.1, 358.466
28, 71.0, 20.999
29, 66.9, 10.487
30, 63.4, 8.825
31, 60.0, 7.290
32, 49.6, 6.229
33, 40.7, 5.509
34, 30.3, 5.207
35, 22.8, 5.028
