11.0 kpa, 21880.4 raw, 17 g 
22.8 kpa, 25894.7 raw, 20 g 
30.3 kpa, 29264.0 raw, 23 g 
40.7 kpa, 37422.3 raw, 29 g 
49.6 kpa, 51506.4 raw, 39 g 
60.0 kpa, 84211.7 raw, 64 g 
63.4 kpa, 99660.0 raw, 75 g 
66.9 kpa, 125057.7 raw, 95 g 
71.0 kpa, 160918.7 raw, 121 g 
75.1 kpa, 216098.2 raw, 163 g 
80.0 kpa, 304649.1 raw, 229 g 
82.7 kpa, 364932.4 raw, 274 g 
80.0 kpa, 343700.0 raw, 258 g 
75.1 kpa, 285201.5 raw, 215 g 
71.0 kpa, 239606.4 raw, 180 g 
66.9 kpa, 186406.7 raw, 141 g 
63.4 kpa, 145040.1 raw, 109 g 
60.0 kpa, 114041.6 raw, 86 g 
49.6 kpa, 67267.0 raw, 51 g 
40.7 kpa, 43825.0 raw, 34 g 
30.3 kpa, 31491.2 raw, 24 g 
22.8 kpa, 27513.2 raw, 21 g 
