16.5 kpa, 43834.6 raw, 34 g 
26.9 kpa, 48509.5 raw, 37 g 
57.2 kpa, 64460.6 raw, 49 g 
84.1 kpa, 78857.9 raw, 60 g 
103.4 kpa, 89398.9 raw, 68 g 
117.9 kpa, 96497.5 raw, 73 g 
135.8 kpa, 106039.7 raw, 80 g 
149.6 kpa, 118560.9 raw, 90 g 
160.0 kpa, 128109.8 raw, 97 g 
173.1 kpa, 128927.2 raw, 97 g 
173.1 kpa, 128558.2 raw, 97 g 
187.5 kpa, 127692.1 raw, 96 g 
187.5 kpa, 253765.1 raw, 191 g 
187.5 kpa, 253044.6 raw, 190 g 
195.8 kpa, 260535.0 raw, 196 g 
206.1 kpa, 269614.4 raw, 203 g 
215.8 kpa, 282378.5 raw, 212 g 
215.8 kpa, 282137.4 raw, 212 g 
227.5 kpa, 293635.8 raw, 221 g 
227.5 kpa, 293375.6 raw, 221 g 
239.9 kpa, 306005.6 raw, 230 g 
254.4 kpa, 320079.7 raw, 241 g 
239.9 kpa, 304895.1 raw, 229 g 
227.5 kpa, 291874.8 raw, 220 g 
215.8 kpa, 280002.5 raw, 211 g 
206.1 kpa, 269386.4 raw, 203 g 
195.8 kpa, 260016.9 raw, 196 g 
187.5 kpa, 251795.1 raw, 190 g 
173.1 kpa, 237344.6 raw, 179 g 
160.0 kpa, 225731.4 raw, 170 g 
149.6 kpa, 215878.8 raw, 163 g 
135.8 kpa, 203771.4 raw, 154 g 
117.9 kpa, 189113.8 raw, 143 g 
103.4 kpa, 178174.1 raw, 134 g 
84.1 kpa, 164011.0 raw, 124 g 
57.2 kpa, 146448.6 raw, 111 g 
26.9 kpa, 125694.3 raw, 95 g 
