11.0 , 19255.6 , 15  , 17  , 18, 16
22.8 , 22781.3 , 18  , 20  , 20, 19
30.3 , 26130.6 , 20  , 23  , 23, 21
40.7 , 29777.4 , 23  ,  29  , 29, 27
49.6 , 40500.0 , 31  , 39  , 37, 37
60.0 , 63862.8 , 49  , 64  , 60, 61
63.4 , 77655.0 , 59  , 75  , 74, 75
66.9 , 94988.7 , 72  , 95  , 93, 92
71.0 , 119001.8 , 90  , 121, 125, 123
75.1 , 152710.6 , 115  , 163, 168, 168
80.0 , 202650.4 , 153  , 229, 234
82.7 , 239556.7 , 180  , 274, 275
80.0 , 382080.6 , 287  , 258, 258
75.1 , 309464.6 , 233  , 215, 212, 223
71.0 , 251270.1 , 189  , 180, 177, 188
66.9 , 198993.0 , 150  , 141, 140, 155
63.4 , 159678.1 , 120  , 109, 109, 123
60.0 , 130529.3 , 99  , 86, 85, 99
49.6 , 75013.3 , 57  , 51, 46, 53
40.7 , 49734.3 , 38  , 34, 30, 35
30.3 , 35750.0 , 28  , 24, 22, 26
22.8 , 29546.8 , 23  , 21, 19, 22
