13.8, 18566.0, 15 , 35, 34
26.2, 25229.5, 20 , 41, 40
31.0, 27676.3, 22 , 43, 42
41.4, 35915.4, 28 , 48, 48
53.1, 45095.4, 35 , 56, 55
62.1, 53858.4, 43 , 63, 62
75.2, 101454.6, 77 , 76, 76
84.1, 118590.7, 90 , 89, 90
94.5, 150557.8, 114 , 114, 117
116.5, 260722.1, 196 , 204, 210
129.6, 363543.1, 273 , 286, 298
144.8, 525935.1, 395 , 415, 436
129.6, 334642.2, 252 , 268, 260
116.5, 324818.3 , 244 , 237, 246
94.5, 180221.3 , 136 , 133, 138
84.1, 137441.6 , 104 , 101, 107
75.2, 114358.9 , 86 , 83, 87
62.1, 91479.4 , 69 , 66, 68
53.1, 79677.7 , 60 , 58, 59
41.4, 67516.2 , 51 , 49, 50
31.0, 58728.8 , 45 , 43, 45
26.2, 55289.4 , 42 , 41, 42
