13.8 kpa, 45493.5 raw, 35 g 
26.2 kpa, 53272.7 raw, 41 g 
31.0 kpa, 56140.6 raw, 43 g 
41.4 kpa, 63188.8 raw, 48 g 
53.1 kpa, 73032.4 raw, 56 g 
62.1 kpa, 82576.2 raw, 63 g 
75.2 kpa, 99812.7 raw, 76 g 
84.1 kpa, 117649.6 raw, 89 g 
94.5 kpa, 150937.5 raw, 114 g 
116.5 kpa, 270781.3 raw, 204 g 
129.6 kpa, 379916.8 raw, 286 g 
144.8 kpa, 552767.2 raw, 415 g 
116.5 kpa, 314737.5 raw, 237 g 
94.5 kpa, 176695.5 raw, 133 g 
84.1 kpa, 133049.9 raw, 101 g 
75.2 kpa, 109851.6 raw, 83 g 
62.1 kpa, 87183.9 raw, 66 g 
53.1 kpa, 75915.2 raw, 58 g 
41.4 kpa, 64505.9 raw, 49 g 
31.0 kpa, 56390.7 raw, 43 g 
26.2 kpa, 53301.7 raw, 41 g 
