13.8 kpa, 6587.4 raw, 6 g 
26.2 kpa, 11970.6 raw, 10 g 
31.0 kpa, 13986.0 raw, 11 g 
41.4 kpa, 17848.6 raw, 14 g 
53.1 kpa, 24730.7 raw, 19 g 
62.1 kpa, 30903.8 raw, 24 g 
75.2 kpa, 42014.0 raw, 32 g 
84.1 kpa, 51805.6 raw, 40 g 
94.5 kpa, 68307.9 raw, 52 g 
116.5 kpa, 115525.7 raw, 87 g 
129.6 kpa, 155470.8 raw, 117 g 
144.8 kpa, 215927.2 raw, 163 g 
158.6 kpa, 272907.2 raw, 205 g 
166.2 kpa, 308228.4 raw, 232 g 
173.7 kpa, 346504.5 raw, 261 g 
183.4 kpa, 389303.4 raw, 293 g 
193.7 kpa, 430671.3 raw, 324 g 
204.8 kpa, 490385.4 raw, 368 g 
193.7 kpa, 444979.0 raw, 334 g 
183.4 kpa, 399484.9 raw, 300 g 
173.7 kpa, 361286.2 raw, 272 g 
166.2 kpa, 328326.1 raw, 247 g 
158.6 kpa, 294156.1 raw, 221 g  
144.8 kpa, 244250.0 raw, 184 g 
129.6 kpa, 183419.0 raw, 138 g 
116.5 kpa, 138883.2 raw, 105 g 
94.5 kpa, 77656.7 raw, 59 g 
84.1 kpa, 55706.8 raw, 43 g 
75.2 kpa, 43004.2 raw, 33 g 
62.1 kpa, 30012.1 raw, 23 g 
53.1 kpa, 23380.2 raw, 18 g 
41.4 kpa, 17228.8 raw, 14 g 
31.0 kpa, 12858.7 raw, 10 g 
26.2 kpa, 11143.5 raw, 9 g 
