0, 0.1, 2206.7, 1
102, 1.1, -3664.95, -3
204, 2.2, -10665.65, -8
306, 3.1, -18664.55, -14
408, 4.1, -26778.85, -20
510, 5.1, -36766.35, -28
612, 6.2, -47976.35, -36
714, 7.2, -61151.5, -46
816, 8.2, -77619.4, -59
918, 9.2, -97027.0, -73
1020, 10.2, -122483.15, -93
1122, 11.2, -148060.35, -112
1224, 12.2, -177674.3, -134
1326, 13.3, -231308.95, -175
1428, 14.2, -296100.65, -223
1428, 14.2, -306506.25, -231
1326, 13.3, -254363.65, -192
1224, 12.2, -197762.6, -149
1122, 11.2, -160942.35, -122
1020, 10.2, -132069.55, -100
918, 9.2, -105811.85, -80
816, 8.2, -83436.3, -63
714, 7.2, -65072.75, -49
612, 6.2, -49892.2, -38
510, 5.1, -38344.95, -29
408, 4.1, -27690.05, -21
306, 3.1, -18583.75, -14
204, 2.2, -10501.0, -8
102, 1.1, -3179.35, -3
