0, 0.1, 275.1, 0
102, 1.1, -3959.05, -3
204, 2.2, -9083.9, -7
306, 3.1, -16670.45, -13
408, 4.1, -25409.0, -19
510, 5.1, -38318.95, -29
612, 6.2, -49080.65, -37
714, 7.2, -62095.6, -47
816, 8.2, -78837.05, -60
918, 9.2, -97629.65, -74
1020, 10.2, -118668.75, -90
1122, 11.2, -145287.65, -110
1224, 12.2, -175433.3, -132
1326, 13.3, -247426.7, -187
1326, 13.3, -246159.25, -186
1224, 12.2, -216244.5, -163
1122, 11.2, -159718.85, -121
1020, 10.2, -131881.45, -100
918, 9.2, -104917.2, -79
816, 8.2, -83069.5, -63
714, 7.2, -64530.95, -49
612, 6.2, -50580.25, -38
510, 5.1, -37567.45, -29
408, 4.1, -27902.5, -21
306, 3.1, -18878.75, -15
204, 2.2, -10983.65, -9
102, 1.1, -3639.15, -3
