0 PSI, 46401.38 raw, 32 g 
0.7 PSI, 48130.73 raw, 33 g 
1.5 PSI, 49872.66 raw, 34 g 
2.4 PSI, 52849.46 raw, 36 g 
3.1 PSI, 54864.03 raw, 38 g 
4.0 PSI, 57842.93 raw, 40 g 
5.1 PSI, 61488.8 raw, 43 g 
6.2 PSI, 65194.42 raw, 46 g 
7.1 PSI, 67822.19 raw, 48 g 
8.6 PSI, 70002.18 raw, 49 g 
9.6 PSI, 76532.4 raw, 54 g 
10.5 PSI, 83052.67 raw, 59 g 
11.3 PSI, 89777.47 raw, 64 g 
12.4 PSI, 100445.04 raw, 72 g 
13.3 PSI, 110355.28 raw, 80 g 
13.9 PSI, 124182.97 raw, 90 g 
14.4 PSI, 131103.5 raw, 95 g 
15.0 PSI, 141889.52 raw, 104 g  
14.7 PSI, 138725.51 raw, 101 g 
13.2 PSI, 118197.9 raw, 86 g 
12.0 PSI, 102516.35 raw, 74 g 
10.8 PSI, 90357.07 raw, 65 g 
9.5 PSI, 79671.68 raw, 57 g 
8.3 PSI, 71948.6 raw, 51 g 
6.8 PSI, 62796.63 raw, 44 g 
5.2 PSI, 54790.61 raw, 38 g 
4.5 PSI, 52037.84 raw, 36 g 
2.6 PSI, 44276.15 raw, 30 g 
1.0 PSI, 38612.49 raw, 26 g 
0.1 PSI, 35690.79 raw, 24 g 
