0.0 PSI, 43221.56 raw, 29 g 
0.8 PSI, 45735.03 raw, 31 g 
2.1 PSI, 50203.24 raw, 34 g 
3.1 PSI, 54037.12 raw, 37 g 
4.1 PSI, 59045.99 raw, 41 g 
5.2 PSI, 63818.53 raw, 45 g 
6.7 PSI, 71217.97 raw, 50 g 
8.3 PSI, 79687.22 raw, 57 g 
10.3 PSI, 94066.84 raw, 68 g 
11.4 PSI, 104191.27 raw, 75 g 
12.6 PSI, 115489.24 raw, 84 g 
13.0 PSI, 121973.49 raw, 89 g 
14.3 PSI, 139031.94 raw, 101 g 
15.2 PSI, 153795.8 raw, 112 g 
16.5 PSI, 175922.25 raw, 129 g 
15.2 PSI, 154425.16 raw, 113 g 
14.2 PSI, 139545.75 raw, 102 g 
13.1 PSI, 125522.38 raw, 91 g 
11.8 PSI, 110391.63 raw, 80 g 
10.0 PSI, 93546.94 raw, 67 g 
8.5 PSI, 82360.77 raw, 59 g 
7.2 PSI, 73653.96 raw, 52 g 
5.8 PSI, 66935.12 raw, 47 g 
4.3 PSI, 59826.66 raw, 42 g 
2.9 PSI, 53928.05 raw, 37 g 
1.9 PSI, 50367.89 raw, 35 g 
0.7 PSI, 45357.73 raw, 31 g 
0.1 PSI, 43111.25 raw, 29 g 
