0.0 PSI, 89045.77 raw, 64 g 
0.7 PSI, 91788.69 raw, 66 g 
1.5 PSI, 95263.54 raw, 68 g 
2.5 PSI, 98983.91 raw, 71 g 
3.2 PSI, 102833.41 raw, 74 g 
4.3 PSI, 107670.13 raw, 78 g 
5.2 PSI, 112363.44 raw, 81 g 
6.8 PSI, 119594.14 raw, 87 g 
8.0 PSI, 125776.1 raw, 91 g 
9.1 PSI, 132347.89 raw, 96 g 
10.3 PSI, 138654.37 raw, 101 g 
12.3 PSI, 150507.81 raw, 110 g 
13.6 PSI, 163158.38 raw, 120 g 
14.4 PSI, 166792.03 raw, 122 g 
15.3 PSI, 184655.4 raw, 136 g 
16.0 PSI, 190295.98 raw, 140 g 
15.5 PSI, 184818.74 raw, 136 g 
14.4 PSI, 176273.05 raw, 129 g 
13.3 PSI, 168371.55 raw, 123 g 
12.4 PSI, 161215.8 raw, 118 g 
11.7 PSI, 156496.41 raw, 115 g 
10.6 PSI, 149358.21 raw, 109 g 
9.6 PSI, 143325.4 raw, 105 g 
8.5 PSI, 137518.94 raw, 100 g 
7.5 PSI, 131485.34 raw, 96 g 
6.3 PSI, 125401.84 raw, 91 g 
5.3 PSI, 120181.14 raw, 87 g 
4.3 PSI, 114690.48 raw, 83 g 
3.2 PSI, 109888.06 raw, 79 g 
2.3 PSI, 105443.4 raw, 76 g 
1.4 PSI, 101752.95 raw, 73 g 
0.1 PSI, 95843.58 raw, 69 g 
